Sample Name,Target Name,deltaCT,Gene
WT-2a,Nsdhl-Mm00477897_m1,,Nsdhl
WT-3a,Nsdhl-Mm00477897_m1,5.5,Nsdhl
WT-3a,Nsdhl-Mm00477897_m1,,Nsdhl
WT-4a,Nsdhl-Mm00477897_m1,4.4635,Nsdhl
WT-4a,Nsdhl-Mm00477897_m1,,Nsdhl
WT-5a,Nsdhl-Mm00477897_m1,4.7735,Nsdhl
WT-5a,Nsdhl-Mm00477897_m1,,Nsdhl
R6-3a,Osbpl1a-Mm00498552_m1,1.86,Osbpl1a
R6-3a,Osbpl1a-Mm00498552_m1,,Osbpl1a
R6-4a,Osbpl1a-Mm00498552_m1,1.9325,Osbpl1a
R6-4a,Osbpl1a-Mm00498552_m1,,Osbpl1a
R6-5a,Osbpl1a-Mm00498552_m1,3.409,Osbpl1a
R6-5a,Osbpl1a-Mm00498552_m1,,Osbpl1a
R6-6a,Osbpl1a-Mm00498552_m1,2.786,Osbpl1a
R6-6a,Osbpl1a-Mm00498552_m1,,Osbpl1a
WT-2a,Osbpl1a-Mm00498552_m1,1.859,Osbpl1a
WT-2a,Osbpl1a-Mm00498552_m1,,Osbpl1a
WT-3a,Osbpl1a-Mm00498552_m1,2.6615,Osbpl1a
WT-3a,Osbpl1a-Mm00498552_m1,,Osbpl1a
WT-4a,Osbpl1a-Mm00498552_m1,1.9665,Osbpl1a
WT-4a,Osbpl1a-Mm00498552_m1,,Osbpl1a
WT-5a,Osbpl1a-Mm00498552_m1,2.1155,Osbpl1a
WT-5a,Osbpl1a-Mm00498552_m1,,Osbpl1a
R6-3a,Osbpl5-Mm00600357_m1,7.386,Osbpl5
R6-3a,Osbpl5-Mm00600357_m1,,Osbpl5
R6-4a,Osbpl5-Mm00600357_m1,11.489,Osbpl5
R6-4a,Osbpl5-Mm00600357_m1,,Osbpl5
R6-5a,Osbpl5-Mm00600357_m1,13.7485,Osbpl5
R6-5a,Osbpl5-Mm00600357_m1,,Osbpl5
R6-6a,Osbpl5-Mm00600357_m1,8.109,Osbpl5
R6-6a,Osbpl5-Mm00600357_m1,,Osbpl5
WT-2a,Osbpl5-Mm00600357_m1,10.4985,Osbpl5
WT-2a,Osbpl5-Mm00600357_m1,,Osbpl5
WT-3a,Osbpl5-Mm00600357_m1,11.5395,Osbpl5
WT-3a,Osbpl5-Mm00600357_m1,,Osbpl5
WT-4a,Osbpl5-Mm00600357_m1,10.2355,Osbpl5
WT-4a,Osbpl5-Mm00600357_m1,,Osbpl5
WT-5a,Osbpl5-Mm00600357_m1,9.785,Osbpl5
WT-5a,Osbpl5-Mm00600357_m1,,Osbpl5
R6-3a,Pgk1-Mm00435617_m1,4.3325,Pgk1
R6-3a,Pgk1-Mm00435617_m1,,Pgk1
R6-4a,Pgk1-Mm00435617_m1,3.845,Pgk1
R6-4a,Pgk1-Mm00435617_m1,,Pgk1
R6-5a,Pgk1-Mm00435617_m1,3.9805,Pgk1
R6-5a,Pgk1-Mm00435617_m1,,Pgk1
R6-6a,Pgk1-Mm00435617_m1,4.886,Pgk1
R6-6a,Pgk1-Mm00435617_m1,,Pgk1
WT-2a,Pgk1-Mm00435617_m1,4.6505,Pgk1
WT-2a,Pgk1-Mm00435617_m1,,Pgk1
WT-3a,Pgk1-Mm00435617_m1,5.829,Pgk1
WT-3a,Pgk1-Mm00435617_m1,,Pgk1
WT-4a,Pgk1-Mm00435617_m1,5.4425,Pgk1
WT-4a,Pgk1-Mm00435617_m1,,Pgk1
WT-5a,Pgk1-Mm00435617_m1,5.554,Pgk1
WT-5a,Pgk1-Mm00435617_m1,,Pgk1
R6-3a,Pmvk-Mm01212763_m1,5.88,Pmvk
R6-3a,Pmvk-Mm01212763_m1,,Pmvk
R6-4a,Pmvk-Mm01212763_m1,5.9565,Pmvk
R6-4a,Pmvk-Mm01212763_m1,,Pmvk
R6-5a,Pmvk-Mm01212763_m1,8.241,Pmvk
R6-5a,Pmvk-Mm01212763_m1,,Pmvk
R6-6a,Pmvk-Mm01212763_m1,7.2725,Pmvk
R6-6a,Pmvk-Mm01212763_m1,,Pmvk
WT-2a,Pmvk-Mm01212763_m1,6.7875,Pmvk
WT-2a,Pmvk-Mm01212763_m1,,Pmvk
WT-3a,Pmvk-Mm01212763_m1,7.5085,Pmvk
WT-3a,Pmvk-Mm01212763_m1,,Pmvk
WT-4a,Pmvk-Mm01212763_m1,7.1635,Pmvk
WT-4a,Pmvk-Mm01212763_m1,,Pmvk
WT-5a,Pmvk-Mm01212763_m1,7.0455,Pmvk
WT-5a,Pmvk-Mm01212763_m1,,Pmvk
R6-3a,Polr2a-Mm00839493_m1,3.511,Polr2a
R6-3a,Polr2a-Mm00839493_m1,,Polr2a
R6-4a,Polr2a-Mm00839493_m1,3.1895,Polr2a
R6-4a,Polr2a-Mm00839493_m1,,Polr2a
R6-5a,Polr2a-Mm00839493_m1,3.9905,Polr2a
R6-5a,Polr2a-Mm00839493_m1,,Polr2a
R6-6a,Polr2a-Mm00839493_m1,4.283,Polr2a
R6-6a,Polr2a-Mm00839493_m1,,Polr2a
WT-2a,Polr2a-Mm00839493_m1,6.844,Polr2a
WT-2a,Polr2a-Mm00839493_m1,,Polr2a
WT-3a,Polr2a-Mm00839493_m1,7.5065,Polr2a
WT-3a,Polr2a-Mm00839493_m1,,Polr2a
WT-4a,Polr2a-Mm00839493_m1,6.8415,Polr2a
WT-4a,Polr2a-Mm00839493_m1,,Polr2a
WT-5a,Polr2a-Mm00839493_m1,6.615,Polr2a
WT-5a,Polr2a-Mm00839493_m1,,Polr2a
R6-3a,Ppard-Mm00803184_m1,8.499,Ppard
R6-3a,Ppard-Mm00803184_m1,,Ppard
R6-4a,Ppard-Mm00803184_m1,7.8615,Ppard
R6-4a,Ppard-Mm00803184_m1,,Ppard
R6-5a,Ppard-Mm00803184_m1,10.493,Ppard
R6-5a,Ppard-Mm00803184_m1,,Ppard
R6-6a,Ppard-Mm00803184_m1,8.656,Ppard
R6-6a,Ppard-Mm00803184_m1,,Ppard
WT-2a,Ppard-Mm00803184_m1,8.954,Ppard
WT-2a,Ppard-Mm00803184_m1,,Ppard
WT-3a,Ppard-Mm00803184_m1,10.0065,Ppard
WT-3a,Ppard-Mm00803184_m1,,Ppard
WT-4a,Ppard-Mm00803184_m1,9.107,Ppard
WT-4a,Ppard-Mm00803184_m1,,Ppard
WT-5a,Ppard-Mm00803184_m1,9.0895,Ppard
WT-5a,Ppard-Mm00803184_m1,,Ppard
R6-3a,Ppia-Mm02342430_g1,2.004,Ppia
R6-3a,Ppia-Mm02342430_g1,,Ppia
R6-4a,Ppia-Mm02342430_g1,1.238,Ppia
R6-4a,Ppia-Mm02342430_g1,,Ppia
R6-5a,Ppia-Mm02342430_g1,1.617,Ppia
R6-5a,Ppia-Mm02342430_g1,,Ppia
R6-6a,Ppia-Mm02342430_g1,2.5125,Ppia
R6-6a,Ppia-Mm02342430_g1,,Ppia
WT-2a,Ppia-Mm02342430_g1,2.434,Ppia
WT-2a,Ppia-Mm02342430_g1,,Ppia
WT-3a,Ppia-Mm02342430_g1,3.2495,Ppia
WT-3a,Ppia-Mm02342430_g1,,Ppia
WT-4a,Ppia-Mm02342430_g1,2.4955,Ppia
WT-4a,Ppia-Mm02342430_g1,,Ppia
WT-5a,Ppia-Mm02342430_g1,3.146,Ppia
WT-5a,Ppia-Mm02342430_g1,,Ppia
R6-3a,Prkaa1-Mm01296700_m1,4.992,Prkaa1
R6-3a,Prkaa1-Mm01296700_m1,,Prkaa1
R6-4a,Prkaa1-Mm01296700_m1,4.2035,Prkaa1
R6-4a,Prkaa1-Mm01296700_m1,,Prkaa1
R6-5a,Prkaa1-Mm01296700_m1,5.422,Prkaa1
R6-5a,Prkaa1-Mm01296700_m1,,Prkaa1
R6-6a,Prkaa1-Mm01296700_m1,5.8105,Prkaa1
R6-6a,Prkaa1-Mm01296700_m1,,Prkaa1
WT-2a,Prkaa1-Mm01296700_m1,6.0665,Prkaa1
WT-2a,Prkaa1-Mm01296700_m1,,Prkaa1
WT-3a,Prkaa1-Mm01296700_m1,6.951,Prkaa1
WT-3a,Prkaa1-Mm01296700_m1,,Prkaa1
WT-4a,Prkaa1-Mm01296700_m1,6.025,Prkaa1
WT-4a,Prkaa1-Mm01296700_m1,,Prkaa1
WT-5a,Prkaa1-Mm01296700_m1,6.1555,Prkaa1
WT-5a,Prkaa1-Mm01296700_m1,,Prkaa1
R6-3a,Prkaa2-Mm01264789_m1,7.5135,Prkaa2
R6-3a,Prkaa2-Mm01264789_m1,,Prkaa2
R6-4a,Prkaa2-Mm01264789_m1,8.0595,Prkaa2
R6-4a,Prkaa2-Mm01264789_m1,,Prkaa2
R6-5a,Prkaa2-Mm01264789_m1,12.151,Prkaa2
R6-5a,Prkaa2-Mm01264789_m1,,Prkaa2
R6-6a,Prkaa2-Mm01264789_m1,8.721,Prkaa2
R6-6a,Prkaa2-Mm01264789_m1,,Prkaa2
WT-2a,Prkaa2-Mm01264789_m1,9.2925,Prkaa2
WT-2a,Prkaa2-Mm01264789_m1,,Prkaa2
WT-3a,Prkaa2-Mm01264789_m1,10.0595,Prkaa2
WT-3a,Prkaa2-Mm01264789_m1,,Prkaa2
WT-4a,Prkaa2-Mm01264789_m1,9.7575,Prkaa2
WT-4a,Prkaa2-Mm01264789_m1,,Prkaa2
WT-5a,Prkaa2-Mm01264789_m1,10.3125,Prkaa2
WT-5a,Prkaa2-Mm01264789_m1,,Prkaa2
R6-3a,Prkag2-Mm00513977_m1,6.2985,Prkag2
R6-3a,Prkag2-Mm00513977_m1,,Prkag2
R6-4a,Prkag2-Mm00513977_m1,5.659,Prkag2
R6-4a,Prkag2-Mm00513977_m1,,Prkag2
R6-5a,Prkag2-Mm00513977_m1,10.3975,Prkag2
R6-5a,Prkag2-Mm00513977_m1,,Prkag2
R6-6a,Prkag2-Mm00513977_m1,6.8845,Prkag2
R6-6a,Prkag2-Mm00513977_m1,,Prkag2
WT-2a,Prkag2-Mm00513977_m1,7.097,Prkag2
WT-2a,Prkag2-Mm00513977_m1,,Prkag2
WT-3a,Prkag2-Mm00513977_m1,8.1165,Prkag2
WT-3a,Prkag2-Mm00513977_m1,,Prkag2
WT-4a,Prkag2-Mm00513977_m1,7.068,Prkag2
WT-4a,Prkag2-Mm00513977_m1,,Prkag2
WT-5a,Prkag2-Mm00513977_m1,8.2655,Prkag2
WT-5a,Prkag2-Mm00513977_m1,,Prkag2
R6-3a,Rplp2-Mm00782638_s1,12.273,Rplp2
R6-3a,Rplp2-Mm00782638_s1,,Rplp2
R6-4a,Rplp2-Mm00782638_s1,11.684,Rplp2
R6-4a,Rplp2-Mm00782638_s1,,Rplp2
R6-5a,Rplp2-Mm00782638_s1,10.501,Rplp2
R6-5a,Rplp2-Mm00782638_s1,,Rplp2
R6-6a,Rplp2-Mm00782638_s1,9.8825,Rplp2
R6-6a,Rplp2-Mm00782638_s1,,Rplp2
WT-2a,Rplp2-Mm00782638_s1,11.893,Rplp2
WT-2a,Rplp2-Mm00782638_s1,,Rplp2
WT-3a,Rplp2-Mm00782638_s1,12.3965,Rplp2
WT-3a,Rplp2-Mm00782638_s1,,Rplp2
WT-4a,Rplp2-Mm00782638_s1,14.1745,Rplp2
WT-4a,Rplp2-Mm00782638_s1,,Rplp2
WT-5a,Rplp2-Mm00782638_s1,15.298,Rplp2
WT-5a,Rplp2-Mm00782638_s1,,Rplp2
R6-3a,Scap-Mm01250183_g1,4.6325,Scap
R6-3a,Scap-Mm01250183_g1,,Scap
R6-4a,Scap-Mm01250183_g1,3.8065,Scap
R6-4a,Scap-Mm01250183_g1,,Scap
R6-5a,Scap-Mm01250183_g1,4.385,Scap
R6-5a,Scap-Mm01250183_g1,,Scap
R6-6a,Scap-Mm01250183_g1,5.757,Scap
R6-6a,Scap-Mm01250183_g1,,Scap
WT-2a,Scap-Mm01250183_g1,5.524,Scap
WT-2a,Scap-Mm01250183_g1,,Scap
WT-3a,Scap-Mm01250183_g1,6.7365,Scap
WT-3a,Scap-Mm01250183_g1,,Scap
WT-4a,Scap-Mm01250183_g1,5.66,Scap
WT-4a,Scap-Mm01250183_g1,,Scap
WT-5a,Scap-Mm01250183_g1,5.3225,Scap
WT-5a,Scap-Mm01250183_g1,,Scap
R6-3a,Scarf1-Mm01240399_m1,11.2525,Scarf1
R6-3a,Scarf1-Mm01240399_m1,,Scarf1
R6-5a,Scarf1-Mm01240399_m1,16.0195,Scarf1
R6-5a,Scarf1-Mm01240399_m1,,Scarf1
R6-6a,Scarf1-Mm01240399_m1,14.0745,Scarf1
R6-6a,Scarf1-Mm01240399_m1,,Scarf1
WT-2a,Scarf1-Mm01240399_m1,16.9,Scarf1
WT-2a,Scarf1-Mm01240399_m1,,Scarf1
WT-3a,Scarf1-Mm01240399_m1,17.2345,Scarf1
WT-3a,Scarf1-Mm01240399_m1,,Scarf1
WT-4a,Scarf1-Mm01240399_m1,15.608,Scarf1
WT-4a,Scarf1-Mm01240399_m1,,Scarf1
WT-5a,Scarf1-Mm01240399_m1,15.0665,Scarf1
WT-5a,Scarf1-Mm01240399_m1,,Scarf1
R6-3a,Snx17-Mm01220541_g1,4.869,Snx17
R6-3a,Snx17-Mm01220541_g1,,Snx17
R6-4a,Snx17-Mm01220541_g1,4.5925,Snx17
R6-4a,Snx17-Mm01220541_g1,,Snx17
R6-5a,Snx17-Mm01220541_g1,5.013,Snx17
R6-5a,Snx17-Mm01220541_g1,,Snx17
R6-6a,Snx17-Mm01220541_g1,5.832,Snx17
R6-6a,Snx17-Mm01220541_g1,,Snx17
WT-2a,Snx17-Mm01220541_g1,6.036,Snx17
WT-2a,Snx17-Mm01220541_g1,,Snx17
WT-3a,Snx17-Mm01220541_g1,7.067,Snx17
WT-3a,Snx17-Mm01220541_g1,,Snx17
WT-4a,Snx17-Mm01220541_g1,6.3935,Snx17
WT-4a,Snx17-Mm01220541_g1,,Snx17
WT-5a,Snx17-Mm01220541_g1,6.8055,Snx17
WT-5a,Snx17-Mm01220541_g1,,Snx17
R6-3a,Soat1-Mm00486279_m1,2.318,Soat1
R6-3a,Soat1-Mm00486279_m1,,Soat1
R6-4a,Soat1-Mm00486279_m1,2.318,Soat1
R6-4a,Soat1-Mm00486279_m1,,Soat1
R6-5a,Soat1-Mm00486279_m1,2.9105,Soat1
R6-5a,Soat1-Mm00486279_m1,,Soat1
R6-6a,Soat1-Mm00486279_m1,3.6375,Soat1
R6-6a,Soat1-Mm00486279_m1,,Soat1
WT-2a,Soat1-Mm00486279_m1,3.125,Soat1
WT-2a,Soat1-Mm00486279_m1,,Soat1
WT-3a,Soat1-Mm00486279_m1,3.9445,Soat1
WT-3a,Soat1-Mm00486279_m1,,Soat1
WT-4a,Soat1-Mm00486279_m1,3.1085,Soat1
WT-4a,Soat1-Mm00486279_m1,,Soat1
WT-5a,Soat1-Mm00486279_m1,3.318,Soat1
WT-5a,Soat1-Mm00486279_m1,,Soat1
R6-3a,Sorl1-Mm01169562_m1,3.405,Sorl1
R6-3a,Sorl1-Mm01169562_m1,,Sorl1
R6-4a,Sorl1-Mm01169562_m1,2.7255,Sorl1
R6-4a,Sorl1-Mm01169562_m1,,Sorl1
R6-5a,Sorl1-Mm01169562_m1,4.183,Sorl1
R6-5a,Sorl1-Mm01169562_m1,,Sorl1
R6-6a,Sorl1-Mm01169562_m1,5.0635,Sorl1
R6-6a,Sorl1-Mm01169562_m1,,Sorl1
WT-2a,Sorl1-Mm01169562_m1,5.0415,Sorl1
WT-2a,Sorl1-Mm01169562_m1,,Sorl1
WT-3a,Sorl1-Mm01169562_m1,5.4965,Sorl1
WT-3a,Sorl1-Mm01169562_m1,,Sorl1
WT-4a,Sorl1-Mm01169562_m1,4.616,Sorl1
WT-4a,Sorl1-Mm01169562_m1,,Sorl1
WT-5a,Sorl1-Mm01169562_m1,4.3335,Sorl1
WT-5a,Sorl1-Mm01169562_m1,,Sorl1
R6-3a,Srebf1-Mm00550338_m1,7.56,Srebf1
R6-3a,Srebf1-Mm00550338_m1,,Srebf1
R6-4a,Srebf1-Mm00550338_m1,6.1275,Srebf1
R6-4a,Srebf1-Mm00550338_m1,,Srebf1
R6-5a,Srebf1-Mm00550338_m1,6.9915,Srebf1
R6-5a,Srebf1-Mm00550338_m1,,Srebf1
R6-6a,Srebf1-Mm00550338_m1,9,Srebf1
R6-6a,Srebf1-Mm00550338_m1,,Srebf1
WT-2a,Srebf1-Mm00550338_m1,9.1835,Srebf1
WT-2a,Srebf1-Mm00550338_m1,,Srebf1
WT-3a,Srebf1-Mm00550338_m1,8.6465,Srebf1
WT-3a,Srebf1-Mm00550338_m1,,Srebf1
WT-4a,Srebf1-Mm00550338_m1,9.098,Srebf1
WT-4a,Srebf1-Mm00550338_m1,,Srebf1
WT-5a,Srebf1-Mm00550338_m1,8.8045,Srebf1
WT-5a,Srebf1-Mm00550338_m1,,Srebf1
R6-3a,Srebf2-Mm01306292_m1,3.1655,Srebf2
R6-3a,Srebf2-Mm01306292_m1,,Srebf2
R6-4a,Srebf2-Mm01306292_m1,2.437,Srebf2
R6-4a,Srebf2-Mm01306292_m1,,Srebf2
R6-5a,Srebf2-Mm01306292_m1,2.8735,Srebf2
R6-5a,Srebf2-Mm01306292_m1,,Srebf2
R6-6a,Srebf2-Mm01306292_m1,4.2105,Srebf2
R6-6a,Srebf2-Mm01306292_m1,,Srebf2
WT-2a,Srebf2-Mm01306292_m1,4.139,Srebf2
WT-2a,Srebf2-Mm01306292_m1,,Srebf2
WT-3a,Srebf2-Mm01306292_m1,4.3095,Srebf2
WT-3a,Srebf2-Mm01306292_m1,,Srebf2
WT-4a,Srebf2-Mm01306292_m1,3.758,Srebf2
WT-4a,Srebf2-Mm01306292_m1,,Srebf2
WT-5a,Srebf2-Mm01306292_m1,4.214,Srebf2
WT-5a,Srebf2-Mm01306292_m1,,Srebf2
R6-3a,Stab1-Mm00460390_m1,15.088,Stab1
R6-3a,Stab1-Mm00460390_m1,,Stab1
R6-4a,Stab1-Mm00460390_m1,15.6475,Stab1
R6-4a,Stab1-Mm00460390_m1,,Stab1
R6-5a,Stab1-Mm00460390_m1,22.5985,Stab1
R6-5a,Stab1-Mm00460390_m1,,Stab1
R6-6a,Stab1-Mm00460390_m1,12.4745,Stab1
R6-6a,Stab1-Mm00460390_m1,,Stab1
WT-2a,Stab1-Mm00460390_m1,12.6675,Stab1
WT-2a,Stab1-Mm00460390_m1,,Stab1
WT-3a,Stab1-Mm00460390_m1,16.3335,Stab1
WT-3a,Stab1-Mm00460390_m1,,Stab1
WT-4a,Stab1-Mm00460390_m1,14.114,Stab1
WT-4a,Stab1-Mm00460390_m1,,Stab1
WT-5a,Stab1-Mm00460390_m1,18.5315,Stab1
WT-5a,Stab1-Mm00460390_m1,,Stab1
R6-3a,Stard3-Mm00445520_m1,7.873,Stard3
R6-3a,Stard3-Mm00445520_m1,,Stard3
R6-4a,Stard3-Mm00445520_m1,7.236,Stard3
R6-4a,Stard3-Mm00445520_m1,,Stard3
R6-5a,Stard3-Mm00445520_m1,8.431,Stard3
R6-5a,Stard3-Mm00445520_m1,,Stard3
R6-6a,Stard3-Mm00445520_m1,8.529,Stard3
R6-6a,Stard3-Mm00445520_m1,,Stard3
WT-2a,Stard3-Mm00445520_m1,8.319,Stard3
WT-2a,Stard3-Mm00445520_m1,,Stard3
WT-3a,Stard3-Mm00445520_m1,9.0015,Stard3
WT-3a,Stard3-Mm00445520_m1,,Stard3
WT-4a,Stard3-Mm00445520_m1,8.1355,Stard3
WT-4a,Stard3-Mm00445520_m1,,Stard3
WT-5a,Stard3-Mm00445520_m1,8.47,Stard3
WT-5a,Stard3-Mm00445520_m1,,Stard3
R6-3a,Tm7sf2-Mm01233546_g1,4.91,Tm7sf2
R6-3a,Tm7sf2-Mm01233546_g1,,Tm7sf2
R6-4a,Tm7sf2-Mm01233546_g1,4.468,Tm7sf2
R6-4a,Tm7sf2-Mm01233546_g1,,Tm7sf2
R6-5a,Tm7sf2-Mm01233546_g1,4.59,Tm7sf2
R6-5a,Tm7sf2-Mm01233546_g1,,Tm7sf2
R6-6a,Tm7sf2-Mm01233546_g1,5.514,Tm7sf2
R6-6a,Tm7sf2-Mm01233546_g1,,Tm7sf2
WT-2a,Tm7sf2-Mm01233546_g1,4.351,Tm7sf2
WT-2a,Tm7sf2-Mm01233546_g1,,Tm7sf2
WT-3a,Tm7sf2-Mm01233546_g1,5.267,Tm7sf2
WT-3a,Tm7sf2-Mm01233546_g1,,Tm7sf2
WT-4a,Tm7sf2-Mm01233546_g1,3.815,Tm7sf2
WT-4a,Tm7sf2-Mm01233546_g1,,Tm7sf2
WT-5a,Tm7sf2-Mm01233546_g1,4.0695,Tm7sf2
WT-5a,Tm7sf2-Mm01233546_g1,,Tm7sf2
R6-3a,Trerf1-Mm01278040_m1,10.2045,Trerf1
R6-3a,Trerf1-Mm01278040_m1,,Trerf1
R6-4a,Trerf1-Mm01278040_m1,8.7915,Trerf1
R6-4a,Trerf1-Mm01278040_m1,,Trerf1
R6-5a,Trerf1-Mm01278040_m1,10.8145,Trerf1
R6-5a,Trerf1-Mm01278040_m1,,Trerf1
R6-6a,Trerf1-Mm01278040_m1,11.0325,Trerf1
R6-6a,Trerf1-Mm01278040_m1,,Trerf1
WT-2a,Trerf1-Mm01278040_m1,11.318,Trerf1
WT-2a,Trerf1-Mm01278040_m1,,Trerf1
WT-3a,Trerf1-Mm01278040_m1,13.304,Trerf1
WT-3a,Trerf1-Mm01278040_m1,,Trerf1
WT-4a,Trerf1-Mm01278040_m1,12.203,Trerf1
WT-4a,Trerf1-Mm01278040_m1,,Trerf1
WT-5a,Trerf1-Mm01278040_m1,12.2535,Trerf1
WT-5a,Trerf1-Mm01278040_m1,,Trerf1
R6-3a,Ubc-Mm01201237_m1,4.0645,Ubc
R6-3a,Ubc-Mm01201237_m1,,Ubc
R6-4a,Ubc-Mm01201237_m1,4.435,Ubc
R6-4a,Ubc-Mm01201237_m1,,Ubc
R6-5a,Ubc-Mm01201237_m1,3.9365,Ubc
R6-5a,Ubc-Mm01201237_m1,,Ubc
R6-6a,Ubc-Mm01201237_m1,4.4565,Ubc
R6-6a,Ubc-Mm01201237_m1,,Ubc
WT-2a,Ubc-Mm01201237_m1,4.039,Ubc
WT-2a,Ubc-Mm01201237_m1,,Ubc
WT-3a,Ubc-Mm01201237_m1,4.9365,Ubc
WT-3a,Ubc-Mm01201237_m1,,Ubc
WT-4a,Ubc-Mm01201237_m1,4.108,Ubc
WT-4a,Ubc-Mm01201237_m1,,Ubc
WT-5a,Ubc-Mm01201237_m1,7.594,Ubc
WT-5a,Ubc-Mm01201237_m1,,Ubc
R6-3a,Vldlr-Mm00443281_m1,10.539,Vldlr
R6-3a,Vldlr-Mm00443281_m1,,Vldlr
R6-4a,Vldlr-Mm00443281_m1,8.8785,Vldlr
R6-4a,Vldlr-Mm00443281_m1,,Vldlr
R6-5a,Vldlr-Mm00443281_m1,18.587,Vldlr
R6-5a,Vldlr-Mm00443281_m1,,Vldlr
R6-6a,Vldlr-Mm00443281_m1,10.9565,Vldlr
R6-6a,Vldlr-Mm00443281_m1,,Vldlr
WT-2a,Vldlr-Mm00443281_m1,10.7395,Vldlr
WT-2a,Vldlr-Mm00443281_m1,,Vldlr
WT-3a,Vldlr-Mm00443281_m1,10.919,Vldlr
WT-3a,Vldlr-Mm00443281_m1,,Vldlr
WT-4a,Vldlr-Mm00443281_m1,10.2705,Vldlr
WT-4a,Vldlr-Mm00443281_m1,,Vldlr
WT-5a,Vldlr-Mm00443281_m1,10.8815,Vldlr
WT-5a,Vldlr-Mm00443281_m1,,Vldlr
R6-3a,Zmynd15-Mm02600120_g1,19.7895,Zmynd15
R6-3a,Zmynd15-Mm02600120_g1,,Zmynd15
R6-4a,Zmynd15-Mm02600120_g1,11.8755,Zmynd15
R6-4a,Zmynd15-Mm02600120_g1,,Zmynd15
R6-6a,Zmynd15-Mm02600120_g1,15.998,Zmynd15
R6-6a,Zmynd15-Mm02600120_g1,,Zmynd15
WT-2a,Zmynd15-Mm02600120_g1,17.46,Zmynd15
WT-2a,Zmynd15-Mm02600120_g1,,Zmynd15
WT-3a,Zmynd15-Mm02600120_g1,20.4185,Zmynd15
WT-3a,Zmynd15-Mm02600120_g1,,Zmynd15
WT-4a,Zmynd15-Mm02600120_g1,14.992,Zmynd15
WT-4a,Zmynd15-Mm02600120_g1,,Zmynd15
WT-5a,Zmynd15-Mm02600120_g1,9.3775,Zmynd15
WT-5a,Zmynd15-Mm02600120_g1,,Zmynd15